Symbol,Type,Quantity,Exp Date,DTE,Strike Price,Call/Put,Underlying Last Price,P/L Open,Cost,IV Rank,Î² Delta
AAPL  240719C00200000,Equity Option,-1,2024-07-19,30,200,Call,215.00,150.00,-300.00,25,0.45
AAPL  240719P00180000,Equity Option,-1,2024-07-19,30,180,Put,215.00,120.00,-250.00,25,0.30
AAPL,Equity,100,,,0,,215.00,500.00,0,25,100.00
TSLA  240802C00250000,Equity Option,-1,2024-08-02,43,250,Call,248.50,-50.00,-200.00,30,0.60
TSLA  240802P00200000,Equity Option,-1,2024-08-02,43,200,Put,248.50,-75.00,-220.00,30,0.50
NVDA  240816P00900000,Equity Option,-1,2024-08-16,57,900,Put,1180.00,25.00,-150.00,40,0.40
SPY  240621C00520000,Equity Option,1,2024-06-21,12,520,Call,529.00,45.00,120.00,15,0.25
SPY  240621P00510000,Equity Option,1,2024-06-21,12,510,Put,529.00,30.00,100.00,15,0.20
SPY,Equity,0,,,0,,529.00,0.00,0,15,0.00
GLD  240719P00190000,Equity Option,-1,2024-07-19,30,190,Put,214.00,5.00,-120.00,18,0.10
